id,name,open,labeled,commented,closed
MDExOlB1bGxSZXF1ZXN0MTQ0MjI1MTQ=,https://github.com/ledgersmb/LedgerSMB/pull/1,2014-04-06T08:14:16Z,,,2014-04-06T08:31:40Z
MDExOlB1bGxSZXF1ZXN0MTQ0MjI4Mjk=,https://github.com/ledgersmb/LedgerSMB/pull/2,2014-04-06T09:12:09Z,,,2014-04-06T10:49:08Z
MDExOlB1bGxSZXF1ZXN0MTQ0MjI5NTM=,https://github.com/ledgersmb/LedgerSMB/pull/3,2014-04-06T09:34:08Z,,,2014-04-06T10:49:43Z
MDExOlB1bGxSZXF1ZXN0MTQ0MjMwMjI=,https://github.com/ledgersmb/LedgerSMB/pull/4,2014-04-06T09:49:20Z,,,2014-04-06T10:51:01Z
MDExOlB1bGxSZXF1ZXN0MTQ0MjQ1NzI=,https://github.com/ledgersmb/LedgerSMB/pull/5,2014-04-06T13:59:34Z,,,2014-04-06T14:18:42Z
MDExOlB1bGxSZXF1ZXN0MTQ0MjQ4OTc=,https://github.com/ledgersmb/LedgerSMB/pull/6,2014-04-06T14:45:47Z,,,2014-04-06T14:46:29Z
MDExOlB1bGxSZXF1ZXN0MTQ0Mzc1MzE=,https://github.com/ledgersmb/LedgerSMB/pull/7,2014-04-07T08:46:22Z,,,2014-04-07T08:48:23Z
MDExOlB1bGxSZXF1ZXN0MTQ0NDc4MzA=,https://github.com/ledgersmb/LedgerSMB/pull/8,2014-04-07T13:33:55Z,,,2014-04-07T18:36:05Z
MDExOlB1bGxSZXF1ZXN0MTQ0NzI3MzA=,https://github.com/ledgersmb/LedgerSMB/pull/9,2014-04-07T21:47:23Z,,,2014-04-07T21:47:32Z
MDExOlB1bGxSZXF1ZXN0MTQ0NzMxMzc=,https://github.com/ledgersmb/LedgerSMB/pull/10,2014-04-07T21:56:16Z,,,2014-04-07T21:56:29Z
MDExOlB1bGxSZXF1ZXN0MTQ4OTUyMzY=,https://github.com/ledgersmb/LedgerSMB/pull/11,2014-04-17T20:30:21Z,,,2014-04-17T20:30:27Z
MDExOlB1bGxSZXF1ZXN0MTUxNDE2MDQ=,https://github.com/ledgersmb/LedgerSMB/pull/12,2014-04-24T20:50:40Z,,,2014-04-24T20:50:51Z
MDExOlB1bGxSZXF1ZXN0MTUxNDIxOTM=,https://github.com/ledgersmb/LedgerSMB/pull/13,2014-04-24T21:01:30Z,,,2014-04-24T21:01:43Z
